slug,title,authors,author_position,journal,year,volume,issue,pages_or_article_number,doi,pmid,pmcid,publisher_url,open_access_status,publication_type,primary_category,secondary_categories,has_dedicated_page,verification_status,verification_sources,verification_date,notes
adult-human-spinal-cord-nspcs,Transcriptomic and Functional Landscape of Adult Human Spinal Cord NSPCs Compared to iPSC-Derived Neural Progenitor Cells,Sasi Kumar Jagadeesan; Ahmad Galuta; Ryan Vimukthie Sandarage; Eve Chung Tsai,first,Cells,2025,14,2,64,10.3390/cells14020064,39851491,PMC11763936,https://www.mdpi.com/2073-4409/14/2/64,"Yes (MDPI, open access)",Original research,Human Spinal Cord Biology & Regenerative Neuroscience,Neurosurgery & Clinical / Translational Research,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://www.mdpi.com/2073-4409/14/2/64,2026-09-19,
personalized-stem-cell-regeneration-spinal-cord-injury,Personalized Stem Cell-Based Regeneration in Spinal Cord Injury Care,Sasi Kumar Jagadeesan; Ryan Vimukthie Sandarage; Sathya Mathiyalagan; Eve Chung Tsai,first,International Journal of Molecular Sciences,2025,26,8,3874,10.3390/ijms26083874,40332538,PMC12028285,https://www.mdpi.com/1422-0067/26/8/3874,"Yes (MDPI, open access)",Review article,Human Spinal Cord Biology & Regenerative Neuroscience,Neurosurgery & Clinical / Translational Research,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://www.mdpi.com/1422-0067/26/8/3874,2026-09-19,
patient-specific-interneuron-precision-model,Rebuilding spinal circuit function after spinal cord injury through a patient-specific interneuron precision model,Sasi Kumar Jagadeesan; Ryan Vimukthie Sandarage; Eve Chung Tsai,first,Frontiers in Neuroscience,2026,20,,1745993,10.3389/fnins.2026.1745993,42318198,PMC13272048,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2026.1745993/full,"Yes, CC BY",Hypothesis and Theory,Human Spinal Cord Biology & Regenerative Neuroscience,Neurosurgery & Clinical / Translational Research,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2026.1745993/full,2026-09-19,
spinal-cord-donor-procurement-heterogeneity,Acquisition-Related Heterogeneity in Human Spinal Cord Donors: A 10-Year Organ Donation–Integrated Procurement Cohort for Translational Spinal Cord Injury Research,Sasi Kumar Jagadeesan; Ryan Vimukthie Sandarage; Eve Chung Tsai,first,Neurotrauma Reports,2026,7,,2689288X261475797,10.1177/2689288X261475797,42614516,PMC13482055,https://journals.sagepub.com/doi/10.1177/2689288X261475797,Yes,Research article / original research,Neurosurgery & Clinical / Translational Research,Human Spinal Cord Biology & Regenerative Neuroscience,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://journals.sagepub.com/doi/10.1177/2689288X261475797,2026-09-19,
spinal-cord-tissue-procurement-governance,Governance and Prioritization of Human Spinal Cord Tissue Procurement for Research in an Organ Donation Setting,Sasi Kumar Jagadeesan; Ryan Vimukthie Sandarage; Eve Chung Tsai,first,Biopreservation and Biobanking,2026,,,,10.1177/19475535261443118,42011116,,https://doi.org/10.1177/19475535261443118,Unconfirmed,Review,Neurosurgery & Clinical / Translational Research,Human Spinal Cord Biology & Regenerative Neuroscience,yes,user-confirmed,https://doi.org/10.1177/19475535261443118,2026-09-19,
cervical-spine-pathology-intimate-partner-violence,Cervical Spine Pathology in the Context of Intimate Partner and Interpersonal Violence: A Case Series and Focused Narrative Review,Ryan Vimukthie Sandarage; Emam Khan; Sasi Kumar Jagadeesan; Eve Chung Tsai,middle,Neurotrauma Reports,2026,7,,,10.1177/2689288x261475301,42634724,PMC13499929,https://doi.org/10.1177/2689288x261475301,Likely yes (Neurotrauma Reports is an open-access journal); unconfirmed for this article,Case report / case series (hybrid case series and narrative review),Neurosurgery & Clinical / Translational Research,,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://doi.org/10.1177/2689288x261475301,2026-09-19,
ehr-machine-learning-icu-clinical-deterioration,Development and internal validation of an EHR machine learning model for clinical deterioration in ICU linked inpatients,Sasi Jagadeesan; Pritam Kumar Panda; Ryan Vimukthie Sandarage; Eve C. Tsai,first,Scientific Reports,2026,,,,10.1038/s41598-026-71682-0,,,https://www.nature.com/articles/s41598-026-71682-0,"Yes, CC BY 4.0",Original research,Clinical Machine Learning & Predictive Medicine,,yes,user-confirmed,https://www.nature.com/articles/s41598-026-71682-0,2026-09-19,External validation and prospective operational evaluation are required before clinical use; this model has not been validated outside the MIMIC-IV internal validation described in the paper.
pex11-rim20-lithium-chloride-pgm2-translation,Lithium Chloride Sensitivity Connects the Activity of PEX11 and RIM20 to the Translation of PGM2 and Other mRNAs with Structured 5′-UTRs,Sasi Kumar Jagadeesan; Mustafa Al-Gafari; Maryam Hajikarimlou; Sarah Takallou; Houman Moteshareie; Azam Tayabali; Bahram Samanfar; Myron Smith; Ashkan Golshani,first,Molecular and Cellular Biochemistry,2022,477,11,2643–2656,10.1007/s11010-022-04466-5,35598219,,https://link.springer.com/article/10.1007/s11010-022-04466-5,Unconfirmed,Original research,Yeast Genetics & Cellular Stress Biology,Molecular Genetics & Functional Genomics,yes,user-confirmed,https://link.springer.com/article/10.1007/s11010-022-04466-5,2026-09-19,PMCID not independently verified; a candidate ID surfaced in search was confirmed to belong to a different paper and is deliberately omitted.
dbp7-yrf1-6-licl-pgm2-translation,DBP7 and YRF1-6 Are Involved in Cell Sensitivity to LiCl by Regulating the Translation of PGM2 mRNA,Sasi Kumar Jagadeesan; Mustafa Al-gafari; Jiashu Wang; Sarah Takallou; Danielle Allard; Maryam Hajikarimlou; Thomas David Daniel Kazmirchuk; Houman Moteshareie; Kamaledin B. Said; Reza Nokhbeh; Myron Smith; Bahram Samanfar; Ashkan Golshani,first,International Journal of Molecular Sciences,2023,24,2,1785,10.3390/ijms24021785,36675300,PMC9864399,https://www.mdpi.com/1422-0067/24/2/1785,"Yes (MDPI, open access)",Original research,Yeast Genetics & Cellular Stress Biology,,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://www.mdpi.com/1422-0067/24/2/1785,2026-09-19,
dna-damage-repair-genes-yeast,Discovery and Identification of Genes Involved in DNA Damage Repair in Yeast,Sasi Kumar Jagadeesan; Taylor Potter; Mustafa Al-Gafari; Mohsen Hooshyar; Chamath Minuka Hewapathirana; Sarah Takallou; Maryam Hajikarimlou; Daniel Burnside; Bahram Samanfar; Houman Moteshareie; Myron Smith; Ashkan Golshani,co-first,Gene,2022,831,,146549,10.1016/j.gene.2022.146549,35569766,,https://www.sciencedirect.com/science/article/abs/pii/S0378111922003687,Unconfirmed,Original research,Molecular Genetics & Functional Genomics,Yeast Genetics & Cellular Stress Biology,yes,search-corroborated (secondary sources; not fetched from primary source directly),https://www.sciencedirect.com/science/article/abs/pii/S0378111922003687,2026-09-19,
